j,V
-0.000000375,0.956218
-0.000005375,0.956434
-0.0000043125,0.956361
0.0000141875,0.95654
0.00000675,0.956477
-0.000021,0.956581
-0.00002425,0.956357
-0.0068323125,0.957641
-0.0129994375,0.95819
-0.0191190625,0.959116
-0.025221375,0.96022
-0.0313080625,0.961351
-0.037370875,0.962074
-0.043421625,0.962923
-0.0495478125,0.963931
-0.0556155625,0.964788
-0.0617469375,0.965774
-0.124435,0.975162
-0.1870425,0.984901
-0.249536875,0.994841
-0.312265625,1.00475
-0.374835625,1.0151
-0.4375325,1.02514
-0.5002125,1.03588
-0.5628725,1.04667
-0.62525,1.05714
-0.68793125,1.06899
-0.75044375,1.08021
-0.81331875,1.09261
-0.87585625,1.1053
-0.93854375,1.11826
-1.0010875,1.13192
-1.06376875,1.14701
-1.126325,1.16158
-1.14169375,1.16608
-1.1569125,1.16979
-1.1721875,1.17458
-1.189175,1.17932
-1.20441875,1.18313
-1.2197625,1.18765
-1.23506875,1.19079
-1.25183125,1.19731
-1.26713125,1.20084
-1.28238125,1.20681
-1.297725,1.21132
-1.3130375,1.21646
-1.32979375,1.22242
-1.3451375,1.22658
-1.3512125,1.22931
-1.3573375,1.23084
-1.36346875,1.23368
-1.369525,1.23621
-1.37573125,1.23822
-1.3817875,1.2399
-1.38940625,1.2428
-1.3955875,1.24562
-1.40165,1.2471
-1.4077875,1.24946
-1.413925,1.25228
-1.40785625,1.24889
-1.34529375,1.22545
-1.2826375,1.2053
-1.22003125,1.18647
-1.15728125,1.16867
-1.09469375,1.15369
-1.0319125,1.13862
-0.96945625,1.12478
-0.90684375,1.11098
-0.8441125,1.09833
-0.78135625,1.0865
-0.7186875,1.07441
-0.65605,1.06224
-0.59502125,1.052
-0.53253625,1.04099
-0.4697525,1.03046
-0.407161875,1.02004
-0.3444525,1.01007
-0.281661875,0.99989
-0.219134375,0.990002
-0.15643625,0.980344
-0.093868125,0.970493
-0.0312515625,0.961073
-0.016066625,0.958966
-0.0007903125,0.956407
-0.0000089375,0.956263
-0.000002875,0.95616
-0.0000498125,0.956378
-0.0000451875,0.956277
-0.000031,0.95616
-0.00000325,0.95639
0.0000024375,0.957024
0.0000251875,0.956866
0.0000483125,0.956641
0.0000398125,0.9569
0.0000583125,0.956984
0.0000330625,0.9569
0.00008175,0.956942
0.0068645625,0.955598
0.01301675,0.954797
0.019081875,0.954021
0.025233375,0.953428
0.03131625,0.952305
0.037464125,0.951154
0.0435795,0.950519
0.0496069375,0.949499
0.055694375,0.948696
0.0618348125,0.947596
0.124441875,0.938457
0.186973125,0.929366
0.249546875,0.920156
0.31218875,0.910872
0.3746675,0.901893
0.43745,0.892729
0.500200625,0.884037
0.562650625,0.874589
0.62524375,0.865974
0.68785625,0.85673
0.7504375,0.848062
0.8131875,0.838791
0.87581875,0.829208
0.938375,0.82033
1.00086875,0.810825
1.063475,0.801486
1.12618125,0.792082
1.14143125,0.789411
1.15665,0.787122
1.17196875,0.784487
1.188975,0.781777
1.2042,0.779602
1.21939375,0.777366
1.2346875,0.774615
1.25158125,0.77184
1.26681875,0.769118
1.28218125,0.766225
1.29749375,0.764274
1.31261875,0.760711
1.32949375,0.757978
1.34468125,0.754929
1.3601125,0.75223
1.37524375,0.749086
1.3921625,0.746122
1.4074,0.742692
1.42259375,0.738816
1.43789375,0.73575
1.4547125,0.73222
1.4700875,0.728611
1.48535625,0.724669
1.4914,0.722006
1.4976,0.720628
1.5037875,0.718399
1.5098125,0.717287
1.51741875,0.713982
1.52355,0.711434
1.52973125,0.711422
1.53580625,0.707823
1.541975,0.706132
1.548075,0.704602
1.5541875,0.701573
1.56029375,0.700265
1.566325,0.698006
1.56034375,0.701105
1.49769375,0.721537
1.43510625,0.737526
1.372575,0.750403
1.3099375,0.762032
1.24730625,0.773144
1.1862125,0.782848
1.12346875,0.793373
1.06076875,0.802676
0.99819375,0.812221
0.93561875,0.821624
0.87296875,0.830676
0.81035,0.839898
0.7476375,0.848574
0.6850375,0.857688
0.6223575,0.86619
0.5597175,0.875021
0.4971525,0.883899
0.434498125,0.893054
0.371808125,0.901786
0.309194375,0.910767
0.246546875,0.919776
0.184076875,0.929195
0.121498125,0.938119
0.0587228125,0.947137
0.043525625,0.949228
0.0282636875,0.951756
0.0130231875,0.954076
-0.000067625,0.955947
0.00002275,0.95581
0.00002275,0.956214
0.000017375,0.956265
0.00002275,0.956257
0.0000124375,0.95633
